"","X","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type","Crime Category"
"184",783,-78.499326,38.034122,"2020-01-18","Basketball","Georgia Tech",TRUE,TRUE,"Larceny - Pocket Picking","Theft"
"185",806,-78.493889,38.021234,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Assault Simple","Threat and/or Assault"
"186",807,-78.481638,38.027754,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Missing Person-adult","Non-criminal report"
"187",808,-78.481442,38.015145,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Trespass","Disorderly Conduct"
"188",809,-78.494399,38.024646,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Suspicious Activity","Disorderly Conduct"
"189",810,-78.489636,38.037013,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Robbery - Strong Arm","Theft"
"190",811,-78.482695,38.030748,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"191",812,-78.465583,38.027733,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Driving Under the Influence","Substance Abuse"
"192",813,-78.494766,38.03245,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Hit and Run","Vehicle Accident"
"193",814,-78.488002,38.030475,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Hit and Run","Vehicle Accident"
"194",815,-78.472869,38.015537,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Vandalism","Disorderly Conduct"
"195",816,-78.484068,38.03575,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Warrant Service","Other"
"196",817,-78.480304,38.031121,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Lost/FoundProperty","Non-criminal report"
"197",818,-78.494575,38.055945,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Drug Investigation","Substance Abuse"
"198",819,-78.468643,38.02338,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Fraud-impersonation","Fraud"
"199",820,-78.5002,38.051498,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Larceny - Of Veh Parts/Access","Theft"
"200",821,-78.48045,38.026588,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Larceny - All Other","Theft"
"201",822,-78.488528,38.036342,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Animal Complaint","Animal-related"
"202",823,-78.495667,38.046055,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Larceny - From Motor Vehicle","Theft"
"203",824,-78.478079,38.030358,"2020-01-15","Basketball","Florida State",TRUE,FALSE,"Assault Simple","Threat and/or Assault"
"204",866,-78.480685,38.025291,"2020-01-11","Basketball","Syracuse",FALSE,FALSE,"Sex Offense-forcible fondling","Sex Offense"
"205",867,-78.486048,38.028539,"2020-01-11","Basketball","Syracuse",FALSE,FALSE,"Disorderly Conduct","Disorderly Conduct"
"206",868,-78.493642,38.033234,"2020-01-11","Basketball","Syracuse",FALSE,FALSE,"Motor Vehicle Theft","Theft"
