Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"800 W MAIN ST, Charlottesville, VA",38.031848,-78.490814,1,range_interpolation,800,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"400 2ND ST SE, Charlottesville, VA",38.032619,-78.479731,0.8,range_interpolation,400,"2nd St NE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 W MARKET ST, Charlottesville, VA",38.031682,-78.481145,0.8,range_interpolation,100,"Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1600 MERIDIAN ST, Charlottesville, VA",38.015145,-78.481442,1,range_interpolation,1600,"Meridian St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 MEADE AVE, Charlottesville, VA",38.027733,-78.465583,1,rooftop,300,"Meade Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"200 SHAMROCK RD, Charlottesville, VA",38.026783,-78.510448,1,range_interpolation,200,"Shamrock Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"2300 ANGUS RD, Charlottesville, VA",38.061269,-78.497998,1,rooftop,2300,"Angus Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1400 EMMET ST N, Charlottesville, VA",38.055785,-78.496363,1,range_interpolation,1400,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"100 2ND ST SW, Charlottesville, VA",38.031193,-78.482244,1,range_interpolation,100,"2nd St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"100 1ST ST S, Charlottesville, VA",38.030923,-78.481507,1,range_interpolation,100,"1st St S",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"200 W WATER ST, Charlottesville, VA",38.030184,-78.482828,1,rooftop,200,"W Water St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
