RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
8775,12,2021-04-12T00:00:00.000Z,MICHAEL PL ,37167,Unsexed - 3 Year         ,2015,1900
8776,12,2021-02-02T00:00:00.000Z,SEMINOLE TRL ,37168,Unsexed - 3 Year         ,2015,900
8777,12,2020-11-13T00:00:00.000Z,TARLETON DR ,37169,Unsexed - 3 Year         ,2015,2100
8778,12,2021-01-05T00:00:00.000Z,HOLMES AVE ,37170,Unsexed - 3 Year         ,2015,1000
8779,12,2021-08-14T00:00:00.000Z,MEADOWBROOK RD ,37171,Unsexed - 3 Year         ,2015,1900
8780,12,2022-01-08T00:00:00.000Z,ESSEX RD ,37172,Unsexed - 3 Year         ,2015,1700
8781,12,2021-04-05T00:00:00.000Z,CEDAR HILL RD ,37173,Unsexed - 3 Year         ,2015,19100
8782,12,2017-06-15T00:00:00.000Z,CHESAPEAKE ST ,37174,Unsexed - 3 Year         ,2015,1300
8783,12,2013-12-22T00:00:00.000Z,ELLIOTT AVE ,37175,Unsexed - 3 Year         ,2015,600
8784,12,2018-12-02T00:00:00.000Z,RIVERSIDE AVE ,37176,Unsexed - 3 Year         ,2015,400
8785,12,2015-08-17T00:00:00.000Z,6TH ST SW ,37177,Unsexed - 3 Year         ,2015,300
8786,12,2019-10-02T00:00:00.000Z,RAINIER RD ,37178,Unsexed - 3 Year         ,2015,800
8787,12,2018-02-20T00:00:00.000Z,DRUID AVE ,37179,Unsexed - 3 Year         ,2015,600
8788,12,2015-01-04T00:00:00.000Z,EVERGREEN AVE ,37180,Unsexed - 3 Year         ,2015,600
8789,12,2020-07-09T00:00:00.000Z,CARLTON RD ,37181,Unsexed - 3 Year         ,2015,500
8790,12,2021-08-14T00:00:00.000Z,KERRY LN ,37182,Unsexed - 3 Year         ,2015,2500
8791,12,2021-03-08T00:00:00.000Z,KERRY LN ,37183,Unsexed - 3 Year         ,2015,2500
8792,12,2015-03-08T00:00:00.000Z,ELKHORN RD ,37184,Unsexed - 3 Year         ,2015,100
8793,12,2021-10-23T00:00:00.000Z,8TH ST NW ,37185,Unsexed - 3 Year         ,2015,300
8794,12,2015-05-11T00:00:00.000Z,RIVERBLUFF CIR ,37187,Unsexed - 3 Year         ,2015,100
8795,12,2018-01-30T00:00:00.000Z,TARLETON DR ,37188,Unsexed - 3 Year         ,2015,2100
8796,12,2014-08-25T00:00:00.000Z,GORDON AVE ,37189,Unsexed - 3 Year         ,2015,1600
8797,12,2015-08-01T00:00:00.000Z,1ST ST N ,37190,Unsexed - 3 Year         ,2015,400
8798,12,2018-03-30T00:00:00.000Z,CAMELLIA DR ,37191,Unsexed - 3 Year         ,2015,300
8799,12,2022-12-26T00:00:00.000Z,NALLE ST ,37192,Unsexed - 3 Year         ,2015,900
