"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"876","-78.497708","38.063304","2020-01-11","Basketball","Syracuse","FALSE","FALSE","Weapons Violations"
"915","-78.503703","38.014946","2020-01-07","Basketball","Boston College","TRUE","FALSE","Assist Citizen - Mental/TDO/ECO"
"916","-78.5015","38.055196","2020-01-07","Basketball","Boston College","TRUE","FALSE","Death Investigation - DOA"
"917","-78.477669","38.031191","2020-01-07","Basketball","Boston College","TRUE","FALSE","Hit and Run"
"918","-78.50005","38.014495","2020-01-07","Basketball","Boston College","TRUE","FALSE","Larceny - All Other"
"919","-78.495052","38.035521","2020-01-07","Basketball","Boston College","TRUE","FALSE","Death Investigation - DOA"
"920","-78.460828","38.045976","2020-01-07","Basketball","Boston College","TRUE","FALSE","Assault Intimidation"
"921","-78.480816","38.016703","2020-01-07","Basketball","Boston College","TRUE","FALSE","Fraud-credit card"
"922","-78.470829","38.061521","2020-01-07","Basketball","Boston College","TRUE","FALSE","Hit and Run"
"923","-78.491258","38.022211","2020-01-07","Basketball","Boston College","TRUE","FALSE","Fraud-credit card"
"924","-78.486204","38.019593","2020-01-07","Basketball","Boston College","TRUE","FALSE","Shots Fired/Illegal Hunting"
"925","-78.498406","38.052819","2020-01-07","Basketball","Boston College","TRUE","FALSE","Lost/FoundProperty"
"948","-78.481145","38.031382","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Vandalism"
"949","-78.482695","38.030748","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Disorderly Conduct"
"950","-78.488704","38.018343","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Drug Investigation"
"951","-78.48045","38.026588","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Larceny - All Other"
"952","-78.490814","38.031848","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Larceny - From Motor Vehicle"
"953","-78.492224","38.060855","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Burglary"
"954","-78.48045","38.026588","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Hit and Run"
"955","-78.474548","38.027592","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Larceny - Of Veh Parts/Access"
"956","-78.495713","38.034035","2020-01-04","Basketball","Virginia Tech","FALSE","TRUE","Larceny - All Other"
